threshold,tp,fp,tn,fn,precision_lightgbm,recall_lightgbm,f1_lightgbm,brier_score_lightgbm,auc_lightgbm,cutoff_year,horizon,method,feature_set,sigma,residual_n,auc_ci_low,auc_ci_high,f1_ci_low,f1_ci_high,precision_ci_low,precision_ci_high,recall_ci_low,recall_ci_high,brier_score_ci_low,brier_score_ci_high,auc_latest_rate,f1_latest_rate,precision_latest_rate,recall_latest_rate,brier_score_latest_rate,delta_auc,delta_f1,delta_precision,delta_recall,delta_brier_score
0.5,18,4,5,0,0.8181818181818182,1.0,0.9,0.12744802509267464,0.9629629629629629,2018,7,LightGBM,full_safe,6.086619619196287,107,0.8853009259259259,1.0,0.7886363636363636,0.975609756097561,0.6510326086956522,0.9523809523809523,1.0,1.0,0.05242418373565312,0.22268578781182832,0.9259259259259259,0.8780487804878049,0.782608695652174,1.0,0.12884163821034345,0.03703703703703698,0.02195121951219514,0.035573122529644285,0.0,-0.0013936131176688071
0.5,18,4,5,0,0.8181818181818182,1.0,0.9,0.11121239878569579,0.95679012345679,2019,6,LightGBM,full_safe,5.718026671807644,161,0.8424624060150375,1.0,0.7758960573476702,0.9782742316784869,0.6338516746411483,0.9574728260869565,1.0,1.0,0.043630183859270415,0.19817824018453783,0.9259259259259259,0.8780487804878049,0.782608695652174,1.0,0.11910081330796507,0.030864197530864113,0.02195121951219514,0.035573122529644285,0.0,-0.00788841452226928
0.5,18,3,6,0,0.8571428571428571,1.0,0.9230769230769231,0.09803212569079871,0.9320987654320987,2020,5,LightGBM,full_safe,5.8972156498588735,188,0.7587250712250713,1.0,0.8051351351351352,1.0,0.6738636363636363,1.0,1.0,1.0,0.025958960478203945,0.2183943924717426,0.962962962962963,0.8780487804878049,0.782608695652174,1.0,0.12394966264105607,-0.030864197530864335,0.04502814258911825,0.07453416149068315,0.0,-0.025917536950257364
0.5,18,2,7,0,0.9,1.0,0.9473684210526315,0.093118669472803,0.9753086419753086,2021,4,LightGBM,full_safe,5.512522629051451,215,0.9192613636363637,1.0,0.8717948717948718,1.0,0.7727272727272727,1.0,1.0,1.0,0.0184379360061991,0.18086341927136312,0.9753086419753085,0.9230769230769231,0.8571428571428571,1.0,0.10031557577172626,1.1102230246251565e-16,0.024291497975708398,0.04285714285714293,0.0,-0.00719690629892325
0.5,18,2,7,0,0.9,1.0,0.9473684210526315,0.07918424370795447,0.9753086419753086,2022,3,LightGBM,full_safe,5.151336234439152,242,0.9142857142857143,1.0,0.8648648648648649,1.0,0.7619047619047619,1.0,1.0,1.0,0.015857983332583894,0.163343336516371,0.9567901234567902,0.9,0.8181818181818182,1.0,0.09995264588338468,0.01851851851851849,0.047368421052631504,0.08181818181818179,0.0,-0.020768402175430203
0.5,18,3,6,0,0.8571428571428571,1.0,0.9230769230769231,0.0769916659670786,0.9814814814814814,2023,2,LightGBM,full_safe,4.889723057067204,269,0.9259259259259259,1.0,0.821945701357466,1.0,0.6977173913043478,1.0,1.0,1.0,0.01699258353976037,0.16717157721422266,0.9567901234567902,0.9230769230769231,0.8571428571428571,1.0,0.11392125132575187,0.024691358024691246,0.0,0.0,0.0,-0.03692958535867327
