variable,count,mean,std,min,median,max
recycling_rate,508.0,33.165748031496065,17.21997624519571,0.5,33.55,71.4
waste_generated_kg_pc,510.0,502.6294117647059,130.66128437838685,247.0,488.5,862.0
landfill_rate_proxy,508.0,42.27649522026185,31.189466078205566,0.14492753623188406,48.500908467685875,105.13219284603421
incineration_rate_proxy,502.0,20.169144918320537,18.54068372945327,0.0,13.8580688208941,60.63492063492063
circular_material_use_rate,378.0,8.920105820105821,6.41269612618667,1.2,7.300000000000001,32.0
resource_productivity,513.0,1.6879787524366472,1.060159201670911,0.2805,1.3168,5.8084
environmental_tax_gdp,513.0,2.6682261208576996,0.7306748349262435,0.85,2.53,5.62
gdp_pc_eur,513.0,27973.235867446394,19579.89784613191,3110.0,22930.0,122970.0
household_consumption_pc_eur,513.0,13891.364522417154,6950.9321324151915,2140.0,13300.0,40560.0
population_density,513.0,174.2387914230019,270.62256991565806,17.2,102.9,1766.0
